"","nname","image_score","prcse_score"
"1","A7_uniblue",4,4.4
"2","B8_B-SkyB",5,5
"3","C9_B-Pink",2,2
"4","D10_B-Yelow",2,2.2
"5","A7_uniblue",5,3.6
"6","B8_B-SkyB",2,2.2
"7","C9_B-Pink",1,2.2
"8","D10_B-Yelow",6,5.6
"9","A7_uniblue",4,4.8
"10","B8_B-SkyB",1,2
"11","C9_B-Pink",1,2
"12","D10_B-Yelow",3,2.6
"13","A7_uniblue",5,6
"14","B8_B-SkyB",4,3.4
"15","C9_B-Pink",1,3.4
"16","D10_B-Yelow",6,5.2
"17","A7_uniblue",5,4.2
"18","B8_B-SkyB",4,4
"19","C9_B-Pink",3,3
"20","D10_B-Yelow",3,3.8
"21","A7_uniblue",6,5.2
"22","B8_B-SkyB",1,3
"23","C9_B-Pink",1,1
"24","D10_B-Yelow",3,2.8
"25","A7_uniblue",5,3.4
"26","B8_B-SkyB",1,1.4
"27","C9_B-Pink",1,1
"28","D10_B-Yelow",2,2
"29","A7_uniblue",5,4.4
"30","B8_B-SkyB",6,4
"31","C9_B-Pink",2,2
"32","D10_B-Yelow",7,5.8
"33","A7_uniblue",6,6.2
"34","B8_B-SkyB",6,5
"35","C9_B-Pink",3,3.2
"36","D10_B-Yelow",5,4.8
"37","A7_uniblue",3,3
"38","B8_B-SkyB",3,2.6
"39","C9_B-Pink",1,2.8
"40","D10_B-Yelow",4,4
"41","A7_uniblue",6,2.8
"42","B8_B-SkyB",7,3
"43","C9_B-Pink",3,3.8
"44","D10_B-Yelow",6,3.8
"45","A7_uniblue",3,3.2
"46","B8_B-SkyB",3,4
"47","C9_B-Pink",3,3.4
"48","D10_B-Yelow",7,6
"49","A7_uniblue",3,3
"50","B8_B-SkyB",3,3.8
"51","C9_B-Pink",1,2.4
"52","D10_B-Yelow",5,5
"53","A7_uniblue",5,4.8
"54","B8_B-SkyB",4,4
"55","C9_B-Pink",3,3
"56","D10_B-Yelow",3,3
"57","A7_uniblue",3,1.6
"58","B8_B-SkyB",1,1.6
"59","C9_B-Pink",1,1
"60","D10_B-Yelow",2,2.2
"61","A7_uniblue",7,6.2
"62","B8_B-SkyB",1,1.4
"63","C9_B-Pink",1,1
"64","D10_B-Yelow",6,5.4
"65","A7_uniblue",4,4
"66","B8_B-SkyB",4,3.6
"67","C9_B-Pink",2,2.2
"68","D10_B-Yelow",2,2
"69","A7_uniblue",2,2
"70","B8_B-SkyB",2,2
"71","C9_B-Pink",1,1
"72","D10_B-Yelow",3,1.8
"73","A7_uniblue",4,3.8
"74","B8_B-SkyB",5,4
"75","C9_B-Pink",3,2.4
"76","D10_B-Yelow",4,4
"77","A7_uniblue",2,5.2
"78","B8_B-SkyB",3,5
"79","C9_B-Pink",6,4.8
"80","D10_B-Yelow",1,2.6
"81","A7_uniblue",7,6.4
"82","B8_B-SkyB",4,4.2
"83","C9_B-Pink",2,3
"84","D10_B-Yelow",4,4.2
"85","A7_uniblue",2,4.4
"86","B8_B-SkyB",2,3.2
"87","C9_B-Pink",1,3.2
"88","D10_B-Yelow",2,3.2
"89","A7_uniblue",6,4.6
"90","B8_B-SkyB",5,5
"91","C9_B-Pink",3,3.8
"92","D10_B-Yelow",5,4.6
"93","A7_uniblue",6,5
"94","B8_B-SkyB",3,1.8
"95","C9_B-Pink",1,1
"96","D10_B-Yelow",7,5.8
"97","A7_uniblue",6,3.6
"98","B8_B-SkyB",1,1
"99","C9_B-Pink",1,1
"100","D10_B-Yelow",1,1
"101","A7_uniblue",5,4.6
"102","B8_B-SkyB",3,3.4
"103","C9_B-Pink",2,2.2
"104","D10_B-Yelow",3,2.6
"105","A7_uniblue",6,3.8
"106","B8_B-SkyB",3,2.2
"107","C9_B-Pink",2,1.8
"108","D10_B-Yelow",4,3.6
"109","A7_uniblue",6,5
"110","B8_B-SkyB",3,2.8
"111","C9_B-Pink",1,1.8
"112","D10_B-Yelow",4,3.6
"113","A7_uniblue",5,4.6
"114","B8_B-SkyB",3,2.6
"115","C9_B-Pink",1,2.2
"116","D10_B-Yelow",3,2.6
"117","A7_uniblue",3,2.2
"118","B8_B-SkyB",5,4.8
"119","C9_B-Pink",1,1
"120","D10_B-Yelow",3,3.2
"121","A7_uniblue",7,5.4
"122","B8_B-SkyB",5,3.6
"123","C9_B-Pink",3,2.8
"124","D10_B-Yelow",5,4.2
"125","A7_uniblue",5,5
"126","B8_B-SkyB",4,3.8
"127","C9_B-Pink",2,2
"128","D10_B-Yelow",5,3.6
"129","A7_uniblue",4,3.6
"130","B8_B-SkyB",2,1.8
"131","C9_B-Pink",1,1
"132","D10_B-Yelow",4,3.4
"133","A7_uniblue",2,1.6
"134","B8_B-SkyB",1,2.4
"135","C9_B-Pink",1,1.2
"136","D10_B-Yelow",4,4.2
"137","A7_uniblue",6,5
"138","B8_B-SkyB",4,2.4
"139","C9_B-Pink",2,2
"140","D10_B-Yelow",4,2.8
"141","A7_uniblue",6,5.8
"142","B8_B-SkyB",2,1.8
"143","C9_B-Pink",1,1.6
"144","D10_B-Yelow",5,4.4
"145","A7_uniblue",3,7
"146","B8_B-SkyB",7,7
"147","C9_B-Pink",7,7
"148","D10_B-Yelow",3,7
"149","A7_uniblue",5,4
"150","B8_B-SkyB",3,2.4
"151","C9_B-Pink",1,1
"152","D10_B-Yelow",5,5
"153","A7_uniblue",3,3.6
"154","B8_B-SkyB",5,4.4
"155","C9_B-Pink",1,1.8
"156","D10_B-Yelow",6,5.6
"157","A7_uniblue",5,2
"158","B8_B-SkyB",6,2.4
"159","C9_B-Pink",2,1.8
"160","D10_B-Yelow",4,2.6
"161","A7_uniblue",4,2.8
"162","B8_B-SkyB",4,4
"163","C9_B-Pink",4,2.4
"164","D10_B-Yelow",5,4.6
"165","A7_uniblue",2,1.8
"166","B8_B-SkyB",1,1
"167","C9_B-Pink",1,1
"168","D10_B-Yelow",2,1.4
"169","A7_uniblue",7,6.6
"170","B8_B-SkyB",3,3.2
"171","C9_B-Pink",1,2
"172","D10_B-Yelow",5,3.2
"173","A7_uniblue",4,4
"174","B8_B-SkyB",3,3.2
"175","C9_B-Pink",2,2
"176","D10_B-Yelow",2,2
"177","A7_uniblue",6,5.2
"178","B8_B-SkyB",4,2.4
"179","C9_B-Pink",1,2
"180","D10_B-Yelow",4,4.2
"181","A7_uniblue",5,6
"182","B8_B-SkyB",1,1.6
"183","C9_B-Pink",1,1.8
"184","D10_B-Yelow",3,3.6
"185","A7_uniblue",7,2.8
"186","B8_B-SkyB",5,1.8
"187","C9_B-Pink",1,1
"188","D10_B-Yelow",7,6.6
"189","A7_uniblue",3,5.4
"190","B8_B-SkyB",2,4
"191","C9_B-Pink",1,3.2
"192","D10_B-Yelow",6,5.4
"193","A7_uniblue",7,6
"194","B8_B-SkyB",3,2.8
"195","C9_B-Pink",2,2
"196","D10_B-Yelow",2,2
"197","A7_uniblue",7,5
"198","B8_B-SkyB",4,3
"199","C9_B-Pink",3,2.2
"200","D10_B-Yelow",5,4.6
"201","A7_uniblue",6,6
"202","B8_B-SkyB",5,3.2
"203","C9_B-Pink",3,3.2
"204","D10_B-Yelow",3,3
"205","A7_uniblue",6,4.6
"206","B8_B-SkyB",3,3
"207","C9_B-Pink",2,1.6
"208","D10_B-Yelow",5,5
"209","A7_uniblue",4,4
"210","B8_B-SkyB",2,2.6
"211","C9_B-Pink",2,1.6
"212","D10_B-Yelow",1,1.8
"213","A7_uniblue",6,5.4
"214","B8_B-SkyB",2,1.6
"215","C9_B-Pink",1,1.6
"216","D10_B-Yelow",6,6.2
"217","A7_uniblue",5,4.2
"218","B8_B-SkyB",5,5
"219","C9_B-Pink",2,3
"220","D10_B-Yelow",4,4
"221","A7_uniblue",3,2.2
"222","B8_B-SkyB",1,1.2
"223","C9_B-Pink",3,2.2
"224","D10_B-Yelow",4,3.2
"225","A7_uniblue",1,1
"226","B8_B-SkyB",1,1
"227","C9_B-Pink",1,1
"228","D10_B-Yelow",7,5.8
"229","A7_uniblue",5,3.6
"230","B8_B-SkyB",1,1.2
"231","C9_B-Pink",1,1
"232","D10_B-Yelow",3,4
"233","A7_uniblue",4,1.4
"234","B8_B-SkyB",1,2.2
"235","C9_B-Pink",3,2.6
"236","D10_B-Yelow",1,1.6
"237","A7_uniblue",6,5
"238","B8_B-SkyB",3,1.8
"239","C9_B-Pink",1,1.4
"240","D10_B-Yelow",6,5.8
"241","A7_uniblue",5,3.6
"242","B8_B-SkyB",1,1.6
"243","C9_B-Pink",1,1.6
"244","D10_B-Yelow",3,2.6
"245","A7_uniblue",5,4.6
"246","B8_B-SkyB",6,5
"247","C9_B-Pink",3,2.4
"248","D10_B-Yelow",5,6.4
"249","A7_uniblue",5,5.6
"250","B8_B-SkyB",3,3
"251","C9_B-Pink",3,3.2
"252","D10_B-Yelow",3,4.6
"253","A7_uniblue",6,4.8
"254","B8_B-SkyB",3,2.8
"255","C9_B-Pink",2,1.6
"256","D10_B-Yelow",3,2.8
"257","A7_uniblue",6,4.6
"258","B8_B-SkyB",2,2.6
"259","C9_B-Pink",1,2
"260","D10_B-Yelow",2,2.2
"261","A7_uniblue",3,3.8
"262","B8_B-SkyB",5,4
"263","C9_B-Pink",2,3.4
"264","D10_B-Yelow",5,4.8
"265","A7_uniblue",6,5.8
"266","B8_B-SkyB",2,2
"267","C9_B-Pink",2,2
"268","D10_B-Yelow",5,3.6
"269","A7_uniblue",5,5.2
"270","B8_B-SkyB",3,2.4
"271","C9_B-Pink",2,3
"272","D10_B-Yelow",5,5
"273","A7_uniblue",7,6.6
"274","B8_B-SkyB",1,1
"275","C9_B-Pink",1,1
"276","D10_B-Yelow",1,1
"277","A7_uniblue",5,4.6
"278","B8_B-SkyB",6,4.8
"279","C9_B-Pink",3,3.2
"280","D10_B-Yelow",2,3.2
"281","A7_uniblue",1,3
"282","B8_B-SkyB",4,3.6
"283","C9_B-Pink",2,2
"284","D10_B-Yelow",3,2.2
"285","A7_uniblue",2,4.6
"286","B8_B-SkyB",1,2.8
"287","C9_B-Pink",1,2.2
"288","D10_B-Yelow",2,2.2
"289","A7_uniblue",7,4.8
"290","B8_B-SkyB",5,3.2
"291","C9_B-Pink",6,1.6
"292","D10_B-Yelow",4,6.4
"293","A7_uniblue",2,1.8
"294","B8_B-SkyB",2,2.8
"295","C9_B-Pink",1,2
"296","D10_B-Yelow",3,3
"297","A7_uniblue",4,4
"298","B8_B-SkyB",3,3
"299","C9_B-Pink",3,3
"300","D10_B-Yelow",7,6.8
"301","A7_uniblue",5,4
"302","B8_B-SkyB",3,3.2
"303","C9_B-Pink",2,2
"304","D10_B-Yelow",5,4.8
"305","A7_uniblue",5,3.4
"306","B8_B-SkyB",3,2.2
"307","C9_B-Pink",1,1
"308","D10_B-Yelow",5,3.8
"309","A7_uniblue",6,5.8
"310","B8_B-SkyB",3,3.4
"311","C9_B-Pink",1,1.2
"312","D10_B-Yelow",3,3
"313","A7_uniblue",3,4.4
"314","B8_B-SkyB",1,2.2
"315","C9_B-Pink",2,2.4
"316","D10_B-Yelow",1,1
"317","A7_uniblue",2,2.8
"318","B8_B-SkyB",5,5
"319","C9_B-Pink",2,1.8
"320","D10_B-Yelow",4,4.6
"321","A7_uniblue",5,4.8
"322","B8_B-SkyB",4,3.8
"323","C9_B-Pink",2,3
"324","D10_B-Yelow",5,4.6
"325","A7_uniblue",7,6.2
"326","B8_B-SkyB",4,3.2
"327","C9_B-Pink",1,1
"328","D10_B-Yelow",2,2.8
"329","A7_uniblue",6,5
"330","B8_B-SkyB",4,3
"331","C9_B-Pink",1,1.4
"332","D10_B-Yelow",3,2.4
"333","A7_uniblue",6,5.4
"334","B8_B-SkyB",2,2.8
"335","C9_B-Pink",2,2
"336","D10_B-Yelow",2,2
"337","A7_uniblue",7,6.8
"338","B8_B-SkyB",1,1.8
"339","C9_B-Pink",1,1
"340","D10_B-Yelow",6,6
"341","A7_uniblue",5,4.4
"342","B8_B-SkyB",3,3.2
"343","C9_B-Pink",1,1.8
"344","D10_B-Yelow",3,2.6
"345","A7_uniblue",7,5.6
"346","B8_B-SkyB",6,5.4
"347","C9_B-Pink",1,1.2
"348","D10_B-Yelow",4,5.2
"349","A7_uniblue",5,3
"350","B8_B-SkyB",5,5
"351","C9_B-Pink",1,1.2
"352","D10_B-Yelow",6,5.4
"353","A7_uniblue",4,4
"354","B8_B-SkyB",4,3.4
"355","C9_B-Pink",1,2.8
"356","D10_B-Yelow",1,3.4
"357","A7_uniblue",5,5
"358","B8_B-SkyB",2,2
"359","C9_B-Pink",2,2
"360","D10_B-Yelow",2,2
"361","A7_uniblue",2,2.4
"362","B8_B-SkyB",4,1.8
"363","C9_B-Pink",1,1
"364","D10_B-Yelow",1,1.2
"365","A7_uniblue",5,3.6
"366","B8_B-SkyB",5,4.2
"367","C9_B-Pink",5,4.2
"368","D10_B-Yelow",6,5.4
"369","A7_uniblue",3,3.2
"370","B8_B-SkyB",3,3.2
"371","C9_B-Pink",2,2
"372","D10_B-Yelow",3,3.4
"373","A7_uniblue",5,4
"374","B8_B-SkyB",5,3.8
"375","C9_B-Pink",6,6
"376","D10_B-Yelow",7,7
"377","A7_uniblue",6,5.6
"378","B8_B-SkyB",5,3
"379","C9_B-Pink",3,2
"380","D10_B-Yelow",4,4.8
"381","A7_uniblue",2,4.2
"382","B8_B-SkyB",2,2.4
"383","C9_B-Pink",1,1.4
"384","D10_B-Yelow",5,3.8
"385","A7_uniblue",3,4.6
"386","B8_B-SkyB",3,4
"387","C9_B-Pink",2,1.8
"388","D10_B-Yelow",5,5
"389","A7_uniblue",7,6.4
"390","B8_B-SkyB",6,5.6
"391","C9_B-Pink",4,4.8
"392","D10_B-Yelow",6,5.4
"393","A7_uniblue",7,4.8
"394","B8_B-SkyB",2,2.4
"395","C9_B-Pink",1,2.2
"396","D10_B-Yelow",1,2.4
"397","A7_uniblue",5,6.2
"398","B8_B-SkyB",6,4.8
"399","C9_B-Pink",2,1.4
"400","D10_B-Yelow",3,2.8
"401","A7_uniblue",5,2.6
"402","B8_B-SkyB",5,4
"403","C9_B-Pink",4,2.8
"404","D10_B-Yelow",6,6
"405","A7_uniblue",6,5.8
"406","B8_B-SkyB",7,6
"407","C9_B-Pink",2,2.4
"408","D10_B-Yelow",5,5
"409","A7_uniblue",3,2
"410","B8_B-SkyB",3,3
"411","C9_B-Pink",1,1.2
"412","D10_B-Yelow",4,5.2
"413","A7_uniblue",7,5
"414","B8_B-SkyB",3,3.2
"415","C9_B-Pink",2,2
"416","D10_B-Yelow",2,1.8
"417","A7_uniblue",5,5.2
"418","B8_B-SkyB",1,2.2
"419","C9_B-Pink",1,1.2
"420","D10_B-Yelow",1,1.4
"421","A7_uniblue",7,6.2
"422","B8_B-SkyB",7,7
"423","C9_B-Pink",1,3
"424","D10_B-Yelow",2,2.2
"425","A7_uniblue",3,3.2
"426","B8_B-SkyB",4,3.2
"427","C9_B-Pink",1,2.2
"428","D10_B-Yelow",3,2.6
