"","nname","image_score","prcse_score"
"1","A3_unipink",4,3.4
"2","B4_P-Violet",4,4
"3","C5_P-Lemon",5,4.8
"4","D6_P-Tquise",3,2.8
"5","A3_unipink",5,5.4
"6","B4_P-Violet",3,4
"7","C5_P-Lemon",5,5.6
"8","D6_P-Tquise",3,3.8
"9","A3_unipink",4,2.6
"10","B4_P-Violet",2,2
"11","C5_P-Lemon",3,2.8
"12","D6_P-Tquise",1,2
"13","A3_unipink",7,4.8
"14","B4_P-Violet",6,4.2
"15","C5_P-Lemon",7,6.4
"16","D6_P-Tquise",6,4
"17","A3_unipink",3,2.8
"18","B4_P-Violet",4,3.6
"19","C5_P-Lemon",4,5.2
"20","D6_P-Tquise",4,5.2
"21","A3_unipink",5,4.2
"22","B4_P-Violet",2,2.4
"23","C5_P-Lemon",7,6.4
"24","D6_P-Tquise",5,3.2
"25","A3_unipink",7,3.4
"26","B4_P-Violet",5,4.2
"27","C5_P-Lemon",5,4.2
"28","D6_P-Tquise",1,2.2
"29","A3_unipink",5,4.4
"30","B4_P-Violet",5,4.6
"31","C5_P-Lemon",6,5.6
"32","D6_P-Tquise",5,5
"33","A3_unipink",3,2.8
"34","B4_P-Violet",3,4
"35","C5_P-Lemon",6,4.8
"36","D6_P-Tquise",2,2.4
"37","A3_unipink",6,5.2
"38","B4_P-Violet",6,5
"39","C5_P-Lemon",6,5.4
"40","D6_P-Tquise",4,4
"41","A3_unipink",4,3
"42","B4_P-Violet",4,3.6
"43","C5_P-Lemon",5,4.4
"44","D6_P-Tquise",3,3.2
"45","A3_unipink",5,5.2
"46","B4_P-Violet",3,4.4
"47","C5_P-Lemon",6,6
"48","D6_P-Tquise",3,4
"49","A3_unipink",3,3.6
"50","B4_P-Violet",6,4.8
"51","C5_P-Lemon",7,5.8
"52","D6_P-Tquise",2,4.6
"53","A3_unipink",3,4
"54","B4_P-Violet",3,3
"55","C5_P-Lemon",3,3
"56","D6_P-Tquise",3,3
"57","A3_unipink",3,2.8
"58","B4_P-Violet",2,1.6
"59","C5_P-Lemon",5,5
"60","D6_P-Tquise",2,2.4
"61","A3_unipink",5,4.8
"62","B4_P-Violet",7,4.4
"63","C5_P-Lemon",5,4.2
"64","D6_P-Tquise",3,6.6
"65","A3_unipink",6,3.6
"66","B4_P-Violet",4,3.8
"67","C5_P-Lemon",4,3.8
"68","D6_P-Tquise",4,3.8
"69","A3_unipink",5,4.6
"70","B4_P-Violet",2,2.2
"71","C5_P-Lemon",6,5.8
"72","D6_P-Tquise",2,1.8
"73","A3_unipink",4,4.4
"74","B4_P-Violet",3,3.4
"75","C5_P-Lemon",5,4.6
"76","D6_P-Tquise",4,3.4
"77","A3_unipink",6,4.8
"78","B4_P-Violet",3,6
"79","C5_P-Lemon",7,5.8
"80","D6_P-Tquise",2,4.2
"81","A3_unipink",6,5.8
"82","B4_P-Violet",4,4
"83","C5_P-Lemon",6,5.8
"84","D6_P-Tquise",4,3.6
"85","A3_unipink",5,2.6
"86","B4_P-Violet",5,4.4
"87","C5_P-Lemon",5,4.4
"88","D6_P-Tquise",5,4.4
"89","A3_unipink",5,4.8
"90","B4_P-Violet",4,3.8
"91","C5_P-Lemon",6,5.2
"92","D6_P-Tquise",5,3.6
"93","A3_unipink",4,4.4
"94","B4_P-Violet",5,4.2
"95","C5_P-Lemon",6,4.2
"96","D6_P-Tquise",7,5.4
"97","A3_unipink",1,2.4
"98","B4_P-Violet",2,3.6
"99","C5_P-Lemon",5,4
"100","D6_P-Tquise",1,1
"101","A3_unipink",5,5.4
"102","B4_P-Violet",4,4.2
"103","C5_P-Lemon",6,4.8
"104","D6_P-Tquise",3,2.8
"105","A3_unipink",3,4.2
"106","B4_P-Violet",5,5.2
"107","C5_P-Lemon",7,5.2
"108","D6_P-Tquise",5,4.4
"109","A3_unipink",6,5.2
"110","B4_P-Violet",3,2.8
"111","C5_P-Lemon",5,5
"112","D6_P-Tquise",6,5.4
"113","A3_unipink",6,4.8
"114","B4_P-Violet",5,4
"115","C5_P-Lemon",7,4
"116","D6_P-Tquise",5,3.4
"117","A3_unipink",6,4.2
"118","B4_P-Violet",2,3.2
"119","C5_P-Lemon",7,6.2
"120","D6_P-Tquise",3,4.6
"121","A3_unipink",3,2.8
"122","B4_P-Violet",5,4.6
"123","C5_P-Lemon",4,4.2
"124","D6_P-Tquise",3,3
"125","A3_unipink",6,5.2
"126","B4_P-Violet",5,3.4
"127","C5_P-Lemon",4,4
"128","D6_P-Tquise",3,4.4
"129","A3_unipink",7,4.6
"130","B4_P-Violet",5,4
"131","C5_P-Lemon",7,5.6
"132","D6_P-Tquise",4,3.2
"133","A3_unipink",5,4.6
"134","B4_P-Violet",3,3.8
"135","C5_P-Lemon",3,3.8
"136","D6_P-Tquise",1,2.8
"137","A3_unipink",4,5
"138","B4_P-Violet",3,3.4
"139","C5_P-Lemon",2,3.2
"140","D6_P-Tquise",2,2.6
"141","A3_unipink",7,5.6
"142","B4_P-Violet",3,1.4
"143","C5_P-Lemon",4,3.2
"144","D6_P-Tquise",4,5.2
"145","A3_unipink",7,5.8
